Weak,Strong,Antonym
soft,mushy,crunchy
good,excellent,bad
funny,hilarious,boring
cold,freezing,hot
big,enormous,tiny
old,ancient,new
large,gigantic,small
wet,drenched,dry
happy,ecstatic,sad
hot,scalding,cold
fat,obese,thin
loud,deafening,quiet
angry,outraged,happy
similar,identical,different
small,miniscule,large
scared,petrified,brave
