weak,strong,correct
green,purple-filler,1.0
one,two-filler,1.0
third,second-filler,1.0
happy,ecstatic,0.975
hard,unsolvable,0.925
large,gigantic,1.0
poor,destitute,0.875
scared,petrified,0.95
thick,impenetrable,0.9
