beta,freq,Sum - cost
300,300,3
,431,0.696055684454756
,462,0.649350649350649
,469,0.639658848614072
,478,0.627615062761506
,499,0.601202404809619
,538,0.557620817843866
,652,0.460122699386503
,680,0.882352941176471
,687,0.436681222707424
,725,0.413793103448276
,733,0.409276944065484
,737,0.407055630936228
,777,0.386100386100386
,834,0.359712230215827
,863,0.695249130938586
,867,0.346020761245675
,879,0.341296928327645
,890,0.337078651685393
,924,0.324675324675325
,1036,0.28957528957529
,1061,0.282752120640905
,1124,0.266903914590747
,1155,0.25974025974026
,1276,0.235109717868339
,1297,0.23130300693909
,1310,0.229007633587786
,1311,0.22883295194508
,1342,0.22354694485842
,1343,0.223380491437081
,1379,0.217548948513416
,1391,0.215672178289001
,1420,0.211267605633803
,1424,0.210674157303371
,1425,0.210526315789474
,1443,0.207900207900208
,1485,0.202020202020202
,1673,0.17931858936043
,1965,0.152671755725191
,2006,0.149551345962114
,2185,0.137299771167048
,2267,0.132333480370534
,2280,0.131578947368421
,2283,0.131406044678055
,2287,0.131176213379974
,2415,0.124223602484472
,2436,0.123152709359606
,2456,0.12214983713355
,2475,0.121212121212121
,2667,0.112485939257593
,2681,0.111898545318911
,2702,0.111028867505551
,2761,0.108656283955089
,2846,0.105411103302881
,2925,0.102564102564103
,2995,0.10016694490818
,3226,0.09299442033478
,3419,0.087744954665107
,3731,0.080407397480568
,4107,0.073046018991965
,4922,0.060950832994718
,5061,0.0592768227623
,5117,0.058628102403752
,6331,0.047385879008056
,6974,0.043016919988529
,7216,0.041574279379158
,7247,0.041396439906168
,7512,0.039936102236422
,7692,0.039001560062403
,10006,0.029982010793524
,10054,0.029838870101452
,10324,0.029058504455637
,10446,0.028719126938541
,10684,0.028079371022089
,10721,0.027982464322358
,10752,0.027901785714286
,10771,0.027852567078266
,10831,0.027698273474287
,10976,0.027332361516035
,11842,0.02533355852052
,11849,0.025318592286269
,12329,0.024332873712386
,13820,0.021707670043415
,13849,0.021662213878258
,13963,0.021485354150254
,14826,0.020234722784298
,15233,0.019694085209742
,16094,0.018640487138064
,16163,0.01856091072202
,16233,0.018480872297173
,17258,0.017383242554178
,17403,0.017238407171177
,17482,0.017160507951035
,17594,0.017051267477549
,17597,0.017048360515997
,18665,0.01607286364854
,18978,0.015807777426494
,19512,0.015375153751538
,19818,0.015137753557372
,20345,0.014745637748833
,20399,0.014706603264866
,21485,0.013963230160577
,22075,0.013590033975085
,22452,0.01336183858899
,23194,0.012934379580926
,23809,0.012600277206099
,24184,0.012404895798875
,24873,0.012061271257991
,26732,0.011222504863086
,27952,0.010732684602175
,27970,0.010725777618877
,29756,0.010082000268853
,35459,0.008460475478722
,39160,0.007660878447395
,39967,0.007506192608902
,40052,0.007490262658544
,42582,0.007045230379033
,44649,0.006719075455217
,44673,0.006715465717548
,46425,0.006462035541195
,46827,0.006406560317765
,47565,0.006307158625039
,47622,0.006299609424216
,50479,0.00594306543315
,51669,0.005806189397898
,54601,0.00549440486438
,55111,0.005443559362015
,55901,0.005366630292839
,66217,0.004530558617878
,67037,0.004475140594
,77547,0.00386862161012
,87427,0.003431434225125
,90571,0.003312318512548
,103621,0.002895166037772
,125571,0.002389086652173
,134910,0.002223704692017
,149658,0.002004570420559
,150646,0.001991423602353
,160011,0.001874871102612
,162411,0.001847165524503
,175611,0.001708321232725
,185463,0.001617573316511
,227169,0.001320602723083
,236577,0.001268086077683
,266744,0.001124673844585
,353973,0.000847522268648
,435993,0.000688084441723
,463566,0.000647157039127
,511027,0.000587053130265
,768232,0.000390507034333
,795534,0.000377105189722
Total Result,,20.6521779916458
